Mediation,Social,Lawyer,Accounting,Architect,Paramedical,psychologist,Pharmacist,Nursing,Dentist,Yesuv_type,SEMEL_YESUV
0,163,210,73,164,208,32,143,681,272,1,2710
47,81,83,25,279,65,0,12,162,48,1,31
91,38,168,86,201,86,13,20,295,117,1,2400
83,33,84,22,416,59,9,15,177,63,1,1020
399,140,169,45,415,121,44,64,274,232,1,2600
89,62,91,69,38,49,6,0,128,13,1,1309
38,60,48,28,663,80,21,10,214,60,1,3570
589,410,887,336,4790,569,90,218,2112,1106,1,70
451,530,756,278,2470,368,71,128,1602,737,1,7100
11,87,99,38,85,123,15,88,432,271,1,6000
108,69,270,166,272,87,27,22,208,114,1,2530
536,975,901,237,4646,562,176,162,2316,1487,1,9000
52,45,56,23,75,44,5,0,67,9,1,9200
273,336,247,154,403,448,85,44,543,272,1,2610
71,58,42,68,36,77,8,0,86,10,1,3780
284,305,435,370,380,254,43,12,330,106,1,6100
399,125,402,160,3103,268,47,127,1062,573,1,6200
112,231,760,307,394,244,114,46,238,276,1,681
284,420,1596,519,1124,419,355,83,361,599,1,6300
64,78,68,22,380,61,13,0,163,52,1,2200
337,429,1143,376,1062,453,274,84,492,595,1,9700
674,492,2255,613,2097,529,416,109,521,927,1,6400
401,282,582,234,1522,362,67,57,1348,454,1,6500
744,296,1205,674,3180,559,130,234,1603,995,1,6600
906,1644,2791,865,8423,1387,852,361,3387,3709,1,4000
132,76,147,36,239,61,7,10,216,65,1,6700
6,110,160,54,172,243,18,233,562,319,1,2730
0,56,113,40,120,171,17,207,428,326,1,2720
81,51,117,48,352,55,10,9,223,72,1,2100
0,177,122,31,64,116,21,55,453,219,1,8900
200,175,409,235,633,221,51,18,284,160,1,2660
113,108,366,159,451,146,50,23,216,159,1,9400
69,113,101,47,641,110,31,13,193,120,1,240
1911,3832,4752,1363,5793,2836,1374,1336,4884,5304,1,3000
115,108,210,83,287,123,35,12,228,76,1,168
360,592,1192,540,2250,718,448,139,1054,1118,1,6900
0,47,48,25,51,158,10,94,373,126,1,634
143,167,173,33,1239,173,45,30,507,401,1,1139
107,169,245,97,1162,199,40,41,542,212,1,7000
15,54,76,31,57,47,15,53,268,104,1,481
50,41,57,24,380,56,7,7,152,47,1,874
455,729,1509,509,1626,697,327,143,812,732,1,1200
33,80,33,43,23,66,6,0,76,20,1,3797
166,114,180,74,515,148,35,28,413,134,1,3616
38,97,101,33,396,99,22,46,353,174,1,1063
185,204,309,125,845,199,61,54,881,454,1,9100
156,166,355,98,982,178,37,97,442,344,1,1061
183,294,563,314,799,333,101,76,326,307,1,7200
104,238,510,170,451,329,55,186,613,618,1,7300
81,101,115,50,963,95,28,23,259,203,1,2500
107,112,103,44,234,63,0,7,151,47,1,246
984,443,1573,580,3903,651,188,190,2192,1220,1,7400
15,219,218,69,111,293,66,148,667,462,1,7500
96,110,235,63,457,107,29,75,521,188,1,7600
178,143,237,81,790,121,23,20,648,304,1,7700
0,94,138,31,99,186,88,106,375,470,1,531
56,61,46,9,534,38,14,15,146,76,1,2560
861,862,2680,1271,4539,1106,316,213,2701,1736,1,7900
105,106,82,14,194,57,14,14,276,129,1,8000
0,31,58,17,57,77,10,95,434,192,1,638
168,264,907,336,877,295,186,75,456,634,1,2620
176,148,299,150,606,128,19,20,443,110,1,6800
115,127,261,105,819,135,36,21,479,191,1,9500
154,144,180,71,679,92,7,39,351,81,1,2630
86,52,93,43,890,95,10,19,434,152,1,9600
153,167,368,144,1007,128,25,36,613,304,1,8200
73,49,46,19,94,42,0,0,108,9,1,1034
51,94,60,26,207,35,14,0,102,44,1,2800
215,274,695,313,858,345,99,44,505,200,1,2640
1010,595,2187,1180,5440,954,211,255,2396,1657,1,8300
0,86,63,5,61,63,31,71,248,285,1,1161
463,769,1239,533,3150,865,310,210,1487,1198,1,8400
132,78,248,96,582,148,11,72,696,200,1,8500
796,882,3096,1153,2795,862,578,210,1230,1584,1,8600
324,277,1450,329,1054,262,266,59,248,581,1,2650
493,485,1447,469,1766,593,412,145,522,947,1,8700
81,163,82,23,285,65,8,15,223,51,1,1031
19,114,161,78,101,165,42,128,664,431,1,8800
2720,3000,12732,2706,9677,2565,3039,521,2695,5979,1,5000
0,23,31,8,30,26,5,19,34,44,2,472
0,39,88,16,41,51,0,30,123,158,2,473
67,91,297,97,218,91,71,14,77,86,2,182
43,69,111,55,124,71,17,0,83,34,2,3760
72,20,114,40,145,43,14,0,93,48,2,565
7,66,93,20,42,70,10,35,296,159,2,478
17,11,30,10,12,13,0,0,33,6,2,41
35,22,84,24,107,47,7,0,65,17,2,3750
14,39,97,21,70,49,16,0,51,24,2,3560
8,50,67,18,40,53,13,53,159,121,2,529
58,183,188,57,86,153,65,10,166,127,2,3650
0,22,40,6,22,55,12,16,128,94,2,482
0,8,8,0,47,9,0,11,25,88,2,4001
0,20,9,0,0,12,0,7,61,36,2,998
14,46,19,10,28,36,8,0,80,12,2,3574
23,24,40,11,67,17,0,0,40,9,2,3652
0,51,60,13,44,33,0,12,54,31,2,480
39,15,58,34,64,12,5,0,31,18,2,466
10,17,12,6,256,26,0,0,78,23,2,1066
36,155,210,55,274,133,102,8,117,110,2,9800
0,24,29,8,27,50,0,11,153,62,2,1326
0,13,23,5,12,14,0,7,55,30,2,944
0,14,31,14,19,27,10,18,100,74,2,483
62,59,115,57,151,81,17,10,132,36,2,3730
5,66,83,37,42,85,15,47,362,137,2,1292
116,196,205,90,330,156,56,27,231,93,2,2550
7,13,27,7,52,12,0,0,17,18,2,485
0,25,20,8,26,30,0,13,66,45,2,627
96,92,154,67,332,87,15,14,219,91,2,166
105,140,432,207,411,157,79,45,218,300,2,229
0,11,9,0,0,13,0,7,73,23,2,541
0,22,35,15,18,20,0,19,74,38,2,487
